,Edge Weight,Frequency,%
0,1,556,80.4630969609262
1,2,89,12.879884225759769
2,3,28,4.052098408104197
3,4,12,1.7366136034732271
4,8,2,0.2894356005788712
5,6,3,0.4341534008683068
6,12,1,0.1447178002894356
